id	func	details_en
A1	D	Determinative of man, names; Pronoun1st sing. i, wi, ink, kwi. “I,” “me,” “my.”
A2	D	Determinative of eat, drink, speak, think.
A3	D	Determinative of sit.
A4	D	Determinative adoration, hide
A5	D	Determinative hide
A6	D	Determinative purity, cleanliness
A7	D	Determinative weary, weak
A8	D	Determinative in hnw “jubilation”
A9	D	Determinative in ꜣṯp “load,” fꜣi “carry,” kꜣt “work.”
A10	D	Determinative in sḳdw “sail.”
A11	D	Determinative ḫnms “friend.”
A12	D	Determinative mšꜥ “army,” soldier.
A13	D	Determinative ḫfty “enemy.”
A14	D	Determinative of mwt “die,” enemy.
A15	D	Determinative ḫr “fall,” sḫrt “overthrow.”
A16	D	Determinative ksi “bow.”
A17	ID	Determinative šri “young.” Logogram ẖrd “child.”
A18	D	Determinative child-king
A19	D	Determinative iꜣw “old,” smsw “eldest,” wr “great one, chief.”
A20	D	Variant of A19.
A21	ID	Determinative and Logogram sr “official, noble.”
A22	D	Determinative statue.
A23	D	Determinative ity, “sovereign.”
A24	ID	Determinative ḥwi, “strike,” nḥm “take away.” Logogram nḫt strong.
A25	D	Determinative hwi “strike.”
A26	ID	Determinative nis “call.” Logogram vocative i, “Oh!”
A27	P	Phonogram in “by,” agent particle.
A28	D	Determinative ḳꜣ “high,” ḥꜥi “rejoice.”
A29	D	Determinative upside down.
A30	D	Determinative iꜣw “praise,” dwꜣ “adoration.”
A31	D	Determinative turn away.
A32	D	Determinative dance.
A33	D	Determinative wander, herdsman.
A34	D	Determinative ḫwsi “pound, build.”
A35	ID	Determinative and Logogram ḳd “build.”
A36	ID	Determinative and Logogram ꜥfty “brewer.”
A37	ID	Use as A36.
A38	I	Logogram ḳis/ḳsi “”Cusae” (town).
A39	I	Use as A38.
A40	D	Determinative god. Replaces A1 as 1st sing pronoun when god speaks. i, wi, ink, kwi.
A41	D	Determinative nsw “king,” ḥm “majesty,” nb “lord.”
A42	D	Use as A41.
A43	D	Determinative king of Upper Egypt.
A44	D	Use as A43.
